case_id,legal_domain,case_type
CASE-007305,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007306,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007307,Tax & GST,GST / Tax Assessment Appeal
CASE-007308,Medical Negligence,Medical Negligence Complaint
CASE-007309,Divorce & Matrimonial,Divorce Petition
CASE-007310,Criminal Law,Criminal Trial
CASE-007311,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007312,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007313,Property & Land,Property / Partition Suit
CASE-007314,Human Rights & PIL,Public Interest Litigation
CASE-007315,Child Protection,POCSO / Child Protection Proceeding
CASE-007316,Family & Succession,Inheritance / Probate
CASE-007317,Media & Defamation,Defamation Suit
CASE-007318,Tax & GST,GST / Tax Assessment Appeal
CASE-007319,Tax & GST,GST / Tax Assessment Appeal
CASE-007320,Employment & Labour,Wrongful Termination
CASE-007321,White Collar Crime,Money Laundering / Corruption Case
CASE-007322,White Collar Crime,Money Laundering / Corruption Case
CASE-007323,Employment & Labour,Wrongful Termination
CASE-007324,Media & Defamation,Defamation Suit
CASE-007325,Corporate & Commercial,Commercial Contract Dispute
CASE-007326,Environmental Law,Environmental Clearance Challenge
CASE-007327,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007328,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007329,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007330,Administrative Law,Administrative Order Challenge
CASE-007331,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007332,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007333,Environmental Law,Environmental Clearance Challenge
CASE-007334,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007335,Environmental Law,Environmental Clearance Challenge
CASE-007336,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007337,Medical Negligence,Medical Negligence Complaint
CASE-007338,Environmental Law,Environmental Clearance Challenge
CASE-007339,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007340,Arbitration,Arbitral Award Challenge
CASE-007341,Education Law,Student Admission / Examination Dispute
CASE-007342,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007343,Medical Negligence,Medical Negligence Complaint
CASE-007344,Property & Land,Property / Partition Suit
CASE-007345,Education Law,Student Admission / Examination Dispute
CASE-007346,Criminal Law,Criminal Trial
CASE-007347,Property & Land,Property / Partition Suit
CASE-007348,Family & Succession,Inheritance / Probate
CASE-007349,Intellectual Property,Trademark Infringement
CASE-007350,Family & Succession,Inheritance / Probate
CASE-007351,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007352,Child Protection,POCSO / Child Protection Proceeding
CASE-007353,Cybercrime & IT,Online Fraud / Cybercrime
CASE-007354,Environmental Law,Environmental Clearance Challenge
CASE-007355,Cybercrime & IT,Online Fraud / Cybercrime
CASE-007356,Child Protection,POCSO / Child Protection Proceeding
CASE-007357,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007358,Administrative Law,Administrative Order Challenge
CASE-007359,Education Law,Student Admission / Examination Dispute
CASE-007360,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007361,Medical Negligence,Medical Negligence Complaint
CASE-007362,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007363,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007364,Medical Negligence,Medical Negligence Complaint
CASE-007365,Family & Succession,Inheritance / Probate
CASE-007366,Criminal Law,Criminal Trial
CASE-007367,Tax & GST,GST / Tax Assessment Appeal
CASE-007368,Child Protection,POCSO / Child Protection Proceeding
CASE-007369,Corporate & Commercial,Commercial Contract Dispute
CASE-007370,Environmental Law,Environmental Clearance Challenge
CASE-007371,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007372,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007373,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007374,Tax & GST,GST / Tax Assessment Appeal
CASE-007375,Human Rights & PIL,Public Interest Litigation
CASE-007376,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007377,Environmental Law,Environmental Clearance Challenge
CASE-007378,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007379,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007380,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007381,Criminal Law,Criminal Trial
CASE-007382,Criminal Law,Criminal Trial
CASE-007383,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007384,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007385,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007386,Human Rights & PIL,Public Interest Litigation
CASE-007387,Media & Defamation,Defamation Suit
CASE-007388,Intellectual Property,Trademark Infringement
CASE-007389,White Collar Crime,Money Laundering / Corruption Case
CASE-007390,Human Rights & PIL,Public Interest Litigation
CASE-007391,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007392,Intellectual Property,Trademark Infringement
CASE-007393,Property & Land,Property / Partition Suit
CASE-007394,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007395,Corporate & Commercial,Commercial Contract Dispute
CASE-007396,Media & Defamation,Defamation Suit
CASE-007397,Tax & GST,GST / Tax Assessment Appeal
CASE-007398,Divorce & Matrimonial,Divorce Petition
CASE-007399,Consumer Protection,Deficiency in Service Complaint
CASE-007400,Family & Succession,Inheritance / Probate
CASE-007401,Human Rights & PIL,Public Interest Litigation
CASE-007402,Criminal Law,Criminal Trial
CASE-007403,Medical Negligence,Medical Negligence Complaint
CASE-007404,Property & Land,Property / Partition Suit
CASE-007405,Corporate & Commercial,Commercial Contract Dispute
CASE-007406,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007407,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007408,Arbitration,Arbitral Award Challenge
CASE-007409,Environmental Law,Environmental Clearance Challenge
CASE-007410,Human Rights & PIL,Public Interest Litigation
CASE-007411,Human Rights & PIL,Public Interest Litigation
CASE-007412,Consumer Protection,Deficiency in Service Complaint
CASE-007413,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007414,Administrative Law,Administrative Order Challenge
CASE-007415,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007416,Arbitration,Arbitral Award Challenge
CASE-007417,Human Rights & PIL,Public Interest Litigation
CASE-007418,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007419,Corporate & Commercial,Commercial Contract Dispute
CASE-007420,Administrative Law,Administrative Order Challenge
CASE-007421,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007422,Administrative Law,Administrative Order Challenge
CASE-007423,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007424,Medical Negligence,Medical Negligence Complaint
CASE-007425,Administrative Law,Administrative Order Challenge
CASE-007426,Employment & Labour,Wrongful Termination
CASE-007427,Arbitration,Arbitral Award Challenge
CASE-007428,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007429,Administrative Law,Administrative Order Challenge
CASE-007430,Child Protection,POCSO / Child Protection Proceeding
CASE-007431,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007432,Corporate & Commercial,Commercial Contract Dispute
CASE-007433,Medical Negligence,Medical Negligence Complaint
CASE-007434,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007435,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007436,Education Law,Student Admission / Examination Dispute
CASE-007437,Cybercrime & IT,Online Fraud / Cybercrime
CASE-007438,Cybercrime & IT,Online Fraud / Cybercrime
CASE-007439,Media & Defamation,Defamation Suit
CASE-007440,Education Law,Student Admission / Examination Dispute
CASE-007441,Administrative Law,Administrative Order Challenge
CASE-007442,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007443,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007444,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007445,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007446,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007447,Human Rights & PIL,Public Interest Litigation
CASE-007448,Environmental Law,Environmental Clearance Challenge
CASE-007449,Environmental Law,Environmental Clearance Challenge
CASE-007450,Consumer Protection,Deficiency in Service Complaint
CASE-007451,Consumer Protection,Deficiency in Service Complaint
CASE-007452,Child Protection,POCSO / Child Protection Proceeding
CASE-007453,Tax & GST,GST / Tax Assessment Appeal
CASE-007454,Environmental Law,Environmental Clearance Challenge
CASE-007455,Child Protection,POCSO / Child Protection Proceeding
CASE-007456,Arbitration,Arbitral Award Challenge
CASE-007457,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007458,Tax & GST,GST / Tax Assessment Appeal
CASE-007459,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007460,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007461,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007462,Arbitration,Arbitral Award Challenge
CASE-007463,Property & Land,Property / Partition Suit
CASE-007464,Property & Land,Property / Partition Suit
CASE-007465,Consumer Protection,Deficiency in Service Complaint
CASE-007466,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007467,Consumer Protection,Deficiency in Service Complaint
CASE-007468,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007469,Arbitration,Arbitral Award Challenge
CASE-007470,Consumer Protection,Deficiency in Service Complaint
CASE-007471,Human Rights & PIL,Public Interest Litigation
CASE-007472,Education Law,Student Admission / Examination Dispute
CASE-007473,White Collar Crime,Money Laundering / Corruption Case
CASE-007474,Environmental Law,Environmental Clearance Challenge
CASE-007475,Corporate & Commercial,Commercial Contract Dispute
CASE-007476,Intellectual Property,Trademark Infringement
CASE-007477,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007478,Media & Defamation,Defamation Suit
CASE-007479,Medical Negligence,Medical Negligence Complaint
CASE-007480,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007481,Education Law,Student Admission / Examination Dispute
CASE-007482,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007483,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007484,White Collar Crime,Money Laundering / Corruption Case
CASE-007485,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007486,Divorce & Matrimonial,Divorce Petition
CASE-007487,Corporate & Commercial,Commercial Contract Dispute
CASE-007488,Corporate & Commercial,Commercial Contract Dispute
CASE-007489,Human Rights & PIL,Public Interest Litigation
CASE-007490,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007491,Media & Defamation,Defamation Suit
CASE-007492,Medical Negligence,Medical Negligence Complaint
CASE-007493,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007494,Cybercrime & IT,Online Fraud / Cybercrime
CASE-007495,Tax & GST,GST / Tax Assessment Appeal
CASE-007496,Child Protection,POCSO / Child Protection Proceeding
CASE-007497,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007498,Medical Negligence,Medical Negligence Complaint
CASE-007499,Employment & Labour,Wrongful Termination
CASE-007500,Property & Land,Property / Partition Suit
CASE-007501,Corporate & Commercial,Commercial Contract Dispute
CASE-007502,Employment & Labour,Wrongful Termination
CASE-007503,Medical Negligence,Medical Negligence Complaint
CASE-007504,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007505,Education Law,Student Admission / Examination Dispute
CASE-007506,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007507,White Collar Crime,Money Laundering / Corruption Case
CASE-007508,Corporate & Commercial,Commercial Contract Dispute
CASE-007509,Education Law,Student Admission / Examination Dispute
CASE-007510,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007511,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007512,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007513,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007514,Family & Succession,Inheritance / Probate
CASE-007515,White Collar Crime,Money Laundering / Corruption Case
CASE-007516,Consumer Protection,Deficiency in Service Complaint
CASE-007517,Intellectual Property,Trademark Infringement
CASE-007518,Education Law,Student Admission / Examination Dispute
CASE-007519,Human Rights & PIL,Public Interest Litigation
CASE-007520,Divorce & Matrimonial,Divorce Petition
CASE-007521,Family & Succession,Inheritance / Probate
CASE-007522,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007523,Media & Defamation,Defamation Suit
CASE-007524,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007525,Medical Negligence,Medical Negligence Complaint
CASE-007526,Intellectual Property,Trademark Infringement
CASE-007527,Human Rights & PIL,Public Interest Litigation
CASE-007528,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007529,Education Law,Student Admission / Examination Dispute
CASE-007530,Environmental Law,Environmental Clearance Challenge
CASE-007531,Media & Defamation,Defamation Suit
CASE-007532,Property & Land,Property / Partition Suit
CASE-007533,Media & Defamation,Defamation Suit
CASE-007534,Intellectual Property,Trademark Infringement
CASE-007535,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007536,Employment & Labour,Wrongful Termination
CASE-007537,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007538,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007539,Education Law,Student Admission / Examination Dispute
CASE-007540,Environmental Law,Environmental Clearance Challenge
CASE-007541,Employment & Labour,Wrongful Termination
CASE-007542,Human Rights & PIL,Public Interest Litigation
CASE-007543,Environmental Law,Environmental Clearance Challenge
CASE-007544,Employment & Labour,Wrongful Termination
CASE-007545,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007546,Family & Succession,Inheritance / Probate
CASE-007547,Child Protection,POCSO / Child Protection Proceeding
CASE-007548,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007549,Education Law,Student Admission / Examination Dispute
CASE-007550,White Collar Crime,Money Laundering / Corruption Case
CASE-007551,Child Protection,POCSO / Child Protection Proceeding
CASE-007552,Cybercrime & IT,Online Fraud / Cybercrime
CASE-007553,Education Law,Student Admission / Examination Dispute
CASE-007554,Medical Negligence,Medical Negligence Complaint
CASE-007555,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007556,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007557,Criminal Law,Criminal Trial
CASE-007558,Divorce & Matrimonial,Divorce Petition
CASE-007559,Administrative Law,Administrative Order Challenge
CASE-007560,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007561,Divorce & Matrimonial,Divorce Petition
CASE-007562,Family & Succession,Inheritance / Probate
CASE-007563,Property & Land,Property / Partition Suit
CASE-007564,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007565,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007566,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007567,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007568,Intellectual Property,Trademark Infringement
CASE-007569,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007570,Media & Defamation,Defamation Suit
CASE-007571,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007572,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007573,Arbitration,Arbitral Award Challenge
CASE-007574,Consumer Protection,Deficiency in Service Complaint
CASE-007575,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007576,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007577,Criminal Law,Criminal Trial
CASE-007578,Property & Land,Property / Partition Suit
CASE-007579,Consumer Protection,Deficiency in Service Complaint
CASE-007580,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007581,Property & Land,Property / Partition Suit
CASE-007582,Divorce & Matrimonial,Divorce Petition
CASE-007583,Human Rights & PIL,Public Interest Litigation
CASE-007584,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007585,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007586,Education Law,Student Admission / Examination Dispute
CASE-007587,Family & Succession,Inheritance / Probate
CASE-007588,Medical Negligence,Medical Negligence Complaint
CASE-007589,Criminal Law,Criminal Trial
CASE-007590,Environmental Law,Environmental Clearance Challenge
CASE-007591,Divorce & Matrimonial,Divorce Petition
CASE-007592,Corporate & Commercial,Commercial Contract Dispute
CASE-007593,Medical Negligence,Medical Negligence Complaint
CASE-007594,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007595,Administrative Law,Administrative Order Challenge
CASE-007596,Property & Land,Property / Partition Suit
CASE-007597,Environmental Law,Environmental Clearance Challenge
CASE-007598,Administrative Law,Administrative Order Challenge
CASE-007599,Family & Succession,Inheritance / Probate
CASE-007600,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007601,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007602,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007603,Intellectual Property,Trademark Infringement
CASE-007604,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007605,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007606,Consumer Protection,Deficiency in Service Complaint
CASE-007607,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007608,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007609,White Collar Crime,Money Laundering / Corruption Case
CASE-007610,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007611,Cybercrime & IT,Online Fraud / Cybercrime
CASE-007612,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007613,Family & Succession,Inheritance / Probate
CASE-007614,Environmental Law,Environmental Clearance Challenge
CASE-007615,Administrative Law,Administrative Order Challenge
CASE-007616,Media & Defamation,Defamation Suit
CASE-007617,White Collar Crime,Money Laundering / Corruption Case
CASE-007618,Human Rights & PIL,Public Interest Litigation
CASE-007619,Medical Negligence,Medical Negligence Complaint
CASE-007620,Cybercrime & IT,Online Fraud / Cybercrime
CASE-007621,Consumer Protection,Deficiency in Service Complaint
CASE-007622,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007623,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007624,Media & Defamation,Defamation Suit
CASE-007625,White Collar Crime,Money Laundering / Corruption Case
CASE-007626,Employment & Labour,Wrongful Termination
CASE-007627,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007628,White Collar Crime,Money Laundering / Corruption Case
CASE-007629,White Collar Crime,Money Laundering / Corruption Case
CASE-007630,Tax & GST,GST / Tax Assessment Appeal
CASE-007631,Arbitration,Arbitral Award Challenge
CASE-007632,Medical Negligence,Medical Negligence Complaint
CASE-007633,Human Rights & PIL,Public Interest Litigation
CASE-007634,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007635,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007636,Divorce & Matrimonial,Divorce Petition
CASE-007637,Medical Negligence,Medical Negligence Complaint
CASE-007638,Property & Land,Property / Partition Suit
CASE-007639,Education Law,Student Admission / Examination Dispute
CASE-007640,Human Rights & PIL,Public Interest Litigation
CASE-007641,Employment & Labour,Wrongful Termination
CASE-007642,Consumer Protection,Deficiency in Service Complaint
CASE-007643,Administrative Law,Administrative Order Challenge
CASE-007644,Administrative Law,Administrative Order Challenge
CASE-007645,Arbitration,Arbitral Award Challenge
CASE-007646,Child Protection,POCSO / Child Protection Proceeding
CASE-007647,White Collar Crime,Money Laundering / Corruption Case
CASE-007648,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007649,Employment & Labour,Wrongful Termination
CASE-007650,Media & Defamation,Defamation Suit
CASE-007651,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007652,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007653,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007654,Employment & Labour,Wrongful Termination
CASE-007655,Family & Succession,Inheritance / Probate
CASE-007656,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007657,Education Law,Student Admission / Examination Dispute
CASE-007658,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007659,Medical Negligence,Medical Negligence Complaint
CASE-007660,Consumer Protection,Deficiency in Service Complaint
CASE-007661,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007662,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007663,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007664,Child Protection,POCSO / Child Protection Proceeding
CASE-007665,Arbitration,Arbitral Award Challenge
CASE-007666,Environmental Law,Environmental Clearance Challenge
CASE-007667,Divorce & Matrimonial,Divorce Petition
CASE-007668,Education Law,Student Admission / Examination Dispute
CASE-007669,Medical Negligence,Medical Negligence Complaint
CASE-007670,Cybercrime & IT,Online Fraud / Cybercrime
CASE-007671,Human Rights & PIL,Public Interest Litigation
CASE-007672,Intellectual Property,Trademark Infringement
CASE-007673,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007674,Property & Land,Property / Partition Suit
CASE-007675,Human Rights & PIL,Public Interest Litigation
CASE-007676,Intellectual Property,Trademark Infringement
CASE-007677,Tax & GST,GST / Tax Assessment Appeal
CASE-007678,White Collar Crime,Money Laundering / Corruption Case
CASE-007679,Human Rights & PIL,Public Interest Litigation
CASE-007680,Family & Succession,Inheritance / Probate
CASE-007681,Media & Defamation,Defamation Suit
CASE-007682,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007683,Child Protection,POCSO / Child Protection Proceeding
CASE-007684,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007685,Arbitration,Arbitral Award Challenge
CASE-007686,Intellectual Property,Trademark Infringement
CASE-007687,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007688,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007689,Criminal Law,Criminal Trial
CASE-007690,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007691,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007692,Cybercrime & IT,Online Fraud / Cybercrime
CASE-007693,Child Protection,POCSO / Child Protection Proceeding
CASE-007694,Corporate & Commercial,Commercial Contract Dispute
CASE-007695,Divorce & Matrimonial,Divorce Petition
CASE-007696,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007697,Administrative Law,Administrative Order Challenge
CASE-007698,Arbitration,Arbitral Award Challenge
CASE-007699,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007700,Divorce & Matrimonial,Divorce Petition
CASE-007701,Property & Land,Property / Partition Suit
CASE-007702,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007703,Criminal Law,Criminal Trial
CASE-007704,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007705,Tax & GST,GST / Tax Assessment Appeal
CASE-007706,Intellectual Property,Trademark Infringement
CASE-007707,Human Rights & PIL,Public Interest Litigation
CASE-007708,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007709,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007710,Administrative Law,Administrative Order Challenge
CASE-007711,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007712,Arbitration,Arbitral Award Challenge
CASE-007713,Arbitration,Arbitral Award Challenge
CASE-007714,Tax & GST,GST / Tax Assessment Appeal
CASE-007715,Arbitration,Arbitral Award Challenge
CASE-007716,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007717,Child Protection,POCSO / Child Protection Proceeding
CASE-007718,Intellectual Property,Trademark Infringement
CASE-007719,Family & Succession,Inheritance / Probate
CASE-007720,Media & Defamation,Defamation Suit
CASE-007721,Consumer Protection,Deficiency in Service Complaint
CASE-007722,Environmental Law,Environmental Clearance Challenge
CASE-007723,Criminal Law,Criminal Trial
CASE-007724,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007725,Child Protection,POCSO / Child Protection Proceeding
CASE-007726,Media & Defamation,Defamation Suit
CASE-007727,Arbitration,Arbitral Award Challenge
CASE-007728,Environmental Law,Environmental Clearance Challenge
CASE-007729,Family & Succession,Inheritance / Probate
CASE-007730,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007731,Property & Land,Property / Partition Suit
CASE-007732,Environmental Law,Environmental Clearance Challenge
CASE-007733,Divorce & Matrimonial,Divorce Petition
CASE-007734,Corporate & Commercial,Commercial Contract Dispute
CASE-007735,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007736,Contract & Agreement,Breach of Contract / Specific Performance
CASE-007737,White Collar Crime,Money Laundering / Corruption Case
CASE-007738,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007739,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007740,Criminal Law,Criminal Trial
CASE-007741,Divorce & Matrimonial,Divorce Petition
CASE-007742,Cybercrime & IT,Online Fraud / Cybercrime
CASE-007743,Human Rights & PIL,Public Interest Litigation
CASE-007744,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007745,White Collar Crime,Money Laundering / Corruption Case
CASE-007746,Child Protection,POCSO / Child Protection Proceeding
CASE-007747,Human Rights & PIL,Public Interest Litigation
CASE-007748,White Collar Crime,Money Laundering / Corruption Case
CASE-007749,Intellectual Property,Trademark Infringement
CASE-007750,Education Law,Student Admission / Examination Dispute
CASE-007751,Child Protection,POCSO / Child Protection Proceeding
CASE-007752,Environmental Law,Environmental Clearance Challenge
CASE-007753,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007754,Human Rights & PIL,Public Interest Litigation
CASE-007755,Criminal Law,Criminal Trial
CASE-007756,Criminal Law,Criminal Trial
CASE-007757,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007758,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-007759,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-007760,Medical Negligence,Medical Negligence Complaint
CASE-007761,Administrative Law,Administrative Order Challenge
CASE-007762,Tax & GST,GST / Tax Assessment Appeal
CASE-007763,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007764,White Collar Crime,Money Laundering / Corruption Case
CASE-007765,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007766,Tax & GST,GST / Tax Assessment Appeal
CASE-007767,Employment & Labour,Wrongful Termination
CASE-007768,Education Law,Student Admission / Examination Dispute
CASE-007769,Consumer Protection,Deficiency in Service Complaint
CASE-007770,Education Law,Student Admission / Examination Dispute
CASE-007771,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007772,Corporate & Commercial,Commercial Contract Dispute
CASE-007773,Corporate & Commercial,Commercial Contract Dispute
CASE-007774,Property & Land,Property / Partition Suit
CASE-007775,Cybercrime & IT,Online Fraud / Cybercrime
CASE-007776,Divorce & Matrimonial,Divorce Petition
CASE-007777,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007778,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007779,Arbitration,Arbitral Award Challenge
CASE-007780,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-007781,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-007782,Child Protection,POCSO / Child Protection Proceeding
CASE-007783,Child Protection,POCSO / Child Protection Proceeding
CASE-007784,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007785,Environmental Law,Environmental Clearance Challenge
CASE-007786,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007787,Motor Accident Claims,Motor Accident Compensation Claim
CASE-007788,Criminal Law,Criminal Trial
CASE-007789,Corporate & Commercial,Commercial Contract Dispute
CASE-007790,Criminal Law,Criminal Trial
CASE-007791,Education Law,Student Admission / Examination Dispute
CASE-007792,Consumer Protection,Deficiency in Service Complaint
CASE-007793,Administrative Law,Administrative Order Challenge
CASE-007794,Constitutional Law,Writ / Fundamental Rights Petition
CASE-007795,Tax & GST,GST / Tax Assessment Appeal
CASE-007796,Education Law,Student Admission / Examination Dispute
CASE-007797,Administrative Law,Administrative Order Challenge
CASE-007798,Intellectual Property,Trademark Infringement
CASE-007799,Immigration & Citizenship,Citizenship / Passport Matter
CASE-007800,Insolvency & Bankruptcy,Corporate Insolvency Resolution
