case_id,legal_domain,case_type,combo_text
CASE-007416,Arbitration,Arbitral Award Challenge,"Whether the facts and evidence establish the legal requirements arising from the arbitration dispute. Synthetic case involving a arbitral award challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Arbitration, Arbitral Award Challenge, Arbitration and Conciliation Act, 1996, Arbitration Act §§9, 11, 34, 37"
CASE-007417,Human Rights & PIL,Public Interest Litigation,"Whether the facts and evidence establish the legal requirements arising from the human rights & pil dispute. Synthetic case involving a public interest litigation. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Human Rights & PIL, Public Interest Litigation, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-007418,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-007419,Corporate & Commercial,Commercial Contract Dispute,"Whether the facts and evidence establish the legal requirements arising from the corporate & commercial dispute. Synthetic case involving a commercial contract dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Corporate & Commercial, Commercial Contract Dispute, Companies Act, 2013, Companies Act §§241, 242; Contract Act §§73, 74"
CASE-007420,Administrative Law,Administrative Order Challenge,"Whether the facts and evidence establish the legal requirements arising from the administrative law dispute. Synthetic case involving a administrative order challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Administrative Law, Administrative Order Challenge, Constitution of India, Articles 14, 16, 226"
CASE-007421,Real Estate & Housing,Builder-Buyer / RERA Dispute,"Whether the facts and evidence establish the legal requirements arising from the real estate & housing dispute. Synthetic case involving a builder-buyer / rera dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Real Estate & Housing, Builder-Buyer / RERA Dispute, Real Estate (Regulation and Development) Act, 2016, RERA §§12, 14, 18, 31"
CASE-007422,Administrative Law,Administrative Order Challenge,"Whether the facts and evidence establish the legal requirements arising from the administrative law dispute. Synthetic case involving a administrative order challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Administrative Law, Administrative Order Challenge, Constitution of India, Articles 14, 16, 226"
CASE-007423,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-007424,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-007425,Administrative Law,Administrative Order Challenge,"Whether the facts and evidence establish the legal requirements arising from the administrative law dispute. Synthetic case involving a administrative order challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Administrative Law, Administrative Order Challenge, Constitution of India, Articles 14, 16, 226"
CASE-007426,Employment & Labour,Wrongful Termination,"Whether the facts and evidence establish the legal requirements arising from the employment & labour dispute. Synthetic case involving a wrongful termination. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Employment & Labour, Wrongful Termination, Industrial Disputes Act, 1947, ID Act §§25F, 25G, 25H"
CASE-007427,Arbitration,Arbitral Award Challenge,"Whether the facts and evidence establish the legal requirements arising from the arbitration dispute. Synthetic case involving a arbitral award challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Arbitration, Arbitral Award Challenge, Arbitration and Conciliation Act, 1996, Arbitration Act §§9, 11, 34, 37"
CASE-007428,Immigration & Citizenship,Citizenship / Passport Matter,"Whether the facts and evidence establish the legal requirements arising from the immigration & citizenship dispute. Synthetic case involving a citizenship / passport matter. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Immigration & Citizenship, Citizenship / Passport Matter, Citizenship Act, 1955, Citizenship Act §§5, 6; Passports Act §10"
CASE-007429,Administrative Law,Administrative Order Challenge,"Whether the facts and evidence establish the legal requirements arising from the administrative law dispute. Synthetic case involving a administrative order challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Administrative Law, Administrative Order Challenge, Constitution of India, Articles 14, 16, 226"
CASE-007430,Child Protection,POCSO / Child Protection Proceeding,"Whether the facts and evidence establish the legal requirements arising from the child protection dispute. Synthetic case involving a pocso / child protection proceeding. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Child Protection, POCSO / Child Protection Proceeding, POCSO Act, 2012, POCSO §§4, 6, 8, 12"
CASE-007431,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-007432,Corporate & Commercial,Commercial Contract Dispute,"Whether the facts and evidence establish the legal requirements arising from the corporate & commercial dispute. Synthetic case involving a commercial contract dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Corporate & Commercial, Commercial Contract Dispute, Companies Act, 2013, Companies Act §§241, 242; Contract Act §§73, 74"
CASE-007433,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-007434,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-007435,Immigration & Citizenship,Citizenship / Passport Matter,"Whether the facts and evidence establish the legal requirements arising from the immigration & citizenship dispute. Synthetic case involving a citizenship / passport matter. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Immigration & Citizenship, Citizenship / Passport Matter, Citizenship Act, 1955, Citizenship Act §§5, 6; Passports Act §10"
CASE-007436,Education Law,Student Admission / Examination Dispute,"Whether the facts and evidence establish the legal requirements arising from the education law dispute. Synthetic case involving a student admission / examination dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Education Law, Student Admission / Examination Dispute, Constitution of India, Articles 14, 21A, 226"
CASE-007437,Cybercrime & IT,Online Fraud / Cybercrime,"Whether the facts and evidence establish the legal requirements arising from the cybercrime & it dispute. Synthetic case involving a online fraud / cybercrime. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Cybercrime & IT, Online Fraud / Cybercrime, Information Technology Act, 2000, IT Act §§43, 66, 66C, 66D"
CASE-007438,Cybercrime & IT,Online Fraud / Cybercrime,"Whether the facts and evidence establish the legal requirements arising from the cybercrime & it dispute. Synthetic case involving a online fraud / cybercrime. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Cybercrime & IT, Online Fraud / Cybercrime, Information Technology Act, 2000, IT Act §§43, 66, 66C, 66D"
CASE-007439,Media & Defamation,Defamation Suit,"Whether the facts and evidence establish the legal requirements arising from the media & defamation dispute. Synthetic case involving a defamation suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Media & Defamation, Defamation Suit, Bharatiya Nyaya Sanhita, 2023, BNS §356; Constitution Art. 19(2)"
CASE-007440,Education Law,Student Admission / Examination Dispute,"Whether the facts and evidence establish the legal requirements arising from the education law dispute. Synthetic case involving a student admission / examination dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Education Law, Student Admission / Examination Dispute, Constitution of India, Articles 14, 21A, 226"
CASE-007441,Administrative Law,Administrative Order Challenge,"Whether the facts and evidence establish the legal requirements arising from the administrative law dispute. Synthetic case involving a administrative order challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Administrative Law, Administrative Order Challenge, Constitution of India, Articles 14, 16, 226"
CASE-007442,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-007443,Motor Accident Claims,Motor Accident Compensation Claim,"Whether the facts and evidence establish the legal requirements arising from the motor accident claims dispute. Synthetic case involving a motor accident compensation claim. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Motor Accident Claims, Motor Accident Compensation Claim, Motor Vehicles Act, 1988, MV Act §§166, 168, 173"
CASE-007444,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-007445,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-007446,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-007447,Human Rights & PIL,Public Interest Litigation,"Whether the facts and evidence establish the legal requirements arising from the human rights & pil dispute. Synthetic case involving a public interest litigation. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Human Rights & PIL, Public Interest Litigation, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-007448,Environmental Law,Environmental Clearance Challenge,"Whether the facts and evidence establish the legal requirements arising from the environmental law dispute. Synthetic case involving a environmental clearance challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Environmental Law, Environmental Clearance Challenge, National Green Tribunal Act, 2010, NGT §§14, 15, 16"
CASE-007449,Environmental Law,Environmental Clearance Challenge,"Whether the facts and evidence establish the legal requirements arising from the environmental law dispute. Synthetic case involving a environmental clearance challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Environmental Law, Environmental Clearance Challenge, National Green Tribunal Act, 2010, NGT §§14, 15, 16"
CASE-007450,Consumer Protection,Deficiency in Service Complaint,"Whether the facts and evidence establish the legal requirements arising from the consumer protection dispute. Synthetic case involving a deficiency in service complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Consumer Protection, Deficiency in Service Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 35, 47"
CASE-007451,Consumer Protection,Deficiency in Service Complaint,"Whether the facts and evidence establish the legal requirements arising from the consumer protection dispute. Synthetic case involving a deficiency in service complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Consumer Protection, Deficiency in Service Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 35, 47"
CASE-007452,Child Protection,POCSO / Child Protection Proceeding,"Whether the facts and evidence establish the legal requirements arising from the child protection dispute. Synthetic case involving a pocso / child protection proceeding. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Child Protection, POCSO / Child Protection Proceeding, POCSO Act, 2012, POCSO §§4, 6, 8, 12"
CASE-007453,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-007454,Environmental Law,Environmental Clearance Challenge,"Whether the facts and evidence establish the legal requirements arising from the environmental law dispute. Synthetic case involving a environmental clearance challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Environmental Law, Environmental Clearance Challenge, National Green Tribunal Act, 2010, NGT §§14, 15, 16"
CASE-007455,Child Protection,POCSO / Child Protection Proceeding,"Whether the facts and evidence establish the legal requirements arising from the child protection dispute. Synthetic case involving a pocso / child protection proceeding. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Child Protection, POCSO / Child Protection Proceeding, POCSO Act, 2012, POCSO §§4, 6, 8, 12"
CASE-007456,Arbitration,Arbitral Award Challenge,"Whether the facts and evidence establish the legal requirements arising from the arbitration dispute. Synthetic case involving a arbitral award challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Arbitration, Arbitral Award Challenge, Arbitration and Conciliation Act, 1996, Arbitration Act §§9, 11, 34, 37"
CASE-007457,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-007458,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-007459,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-007460,Constitutional Law,Writ / Fundamental Rights Petition,"Whether the facts and evidence establish the legal requirements arising from the constitutional law dispute. Synthetic case involving a writ / fundamental rights petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Constitutional Law, Writ / Fundamental Rights Petition, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-007461,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-007462,Arbitration,Arbitral Award Challenge,"Whether the facts and evidence establish the legal requirements arising from the arbitration dispute. Synthetic case involving a arbitral award challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Arbitration, Arbitral Award Challenge, Arbitration and Conciliation Act, 1996, Arbitration Act §§9, 11, 34, 37"
CASE-007463,Property & Land,Property / Partition Suit,"Whether the facts and evidence establish the legal requirements arising from the property & land dispute. Synthetic case involving a property / partition suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Property & Land, Property / Partition Suit, Transfer of Property Act, 1882, TPA §§53A, 54; SRA §§10, 16"
CASE-007464,Property & Land,Property / Partition Suit,"Whether the facts and evidence establish the legal requirements arising from the property & land dispute. Synthetic case involving a property / partition suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Property & Land, Property / Partition Suit, Transfer of Property Act, 1882, TPA §§53A, 54; SRA §§10, 16"
CASE-007465,Consumer Protection,Deficiency in Service Complaint,"Whether the facts and evidence establish the legal requirements arising from the consumer protection dispute. Synthetic case involving a deficiency in service complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Consumer Protection, Deficiency in Service Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 35, 47"
CASE-007466,Real Estate & Housing,Builder-Buyer / RERA Dispute,"Whether the facts and evidence establish the legal requirements arising from the real estate & housing dispute. Synthetic case involving a builder-buyer / rera dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Real Estate & Housing, Builder-Buyer / RERA Dispute, Real Estate (Regulation and Development) Act, 2016, RERA §§12, 14, 18, 31"
CASE-007467,Consumer Protection,Deficiency in Service Complaint,"Whether the facts and evidence establish the legal requirements arising from the consumer protection dispute. Synthetic case involving a deficiency in service complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Consumer Protection, Deficiency in Service Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 35, 47"
CASE-007468,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-007469,Arbitration,Arbitral Award Challenge,"Whether the facts and evidence establish the legal requirements arising from the arbitration dispute. Synthetic case involving a arbitral award challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Arbitration, Arbitral Award Challenge, Arbitration and Conciliation Act, 1996, Arbitration Act §§9, 11, 34, 37"
CASE-007470,Consumer Protection,Deficiency in Service Complaint,"Whether the facts and evidence establish the legal requirements arising from the consumer protection dispute. Synthetic case involving a deficiency in service complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Consumer Protection, Deficiency in Service Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 35, 47"
CASE-007471,Human Rights & PIL,Public Interest Litigation,"Whether the facts and evidence establish the legal requirements arising from the human rights & pil dispute. Synthetic case involving a public interest litigation. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Human Rights & PIL, Public Interest Litigation, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-007472,Education Law,Student Admission / Examination Dispute,"Whether the facts and evidence establish the legal requirements arising from the education law dispute. Synthetic case involving a student admission / examination dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Education Law, Student Admission / Examination Dispute, Constitution of India, Articles 14, 21A, 226"
CASE-007473,White Collar Crime,Money Laundering / Corruption Case,"Whether the facts and evidence establish the legal requirements arising from the white collar crime dispute. Synthetic case involving a money laundering / corruption case. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. White Collar Crime, Money Laundering / Corruption Case, Prevention of Money Laundering Act, 2002, PMLA §§3, 4, 19, 45"
CASE-007474,Environmental Law,Environmental Clearance Challenge,"Whether the facts and evidence establish the legal requirements arising from the environmental law dispute. Synthetic case involving a environmental clearance challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Environmental Law, Environmental Clearance Challenge, National Green Tribunal Act, 2010, NGT §§14, 15, 16"
CASE-007475,Corporate & Commercial,Commercial Contract Dispute,"Whether the facts and evidence establish the legal requirements arising from the corporate & commercial dispute. Synthetic case involving a commercial contract dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Corporate & Commercial, Commercial Contract Dispute, Companies Act, 2013, Companies Act §§241, 242; Contract Act §§73, 74"
CASE-007476,Intellectual Property,Trademark Infringement,"Whether the facts and evidence establish the legal requirements arising from the intellectual property dispute. Synthetic case involving a trademark infringement. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Intellectual Property, Trademark Infringement, Trade Marks Act, 1999, TM Act §§28, 29, 134"
CASE-007477,Real Estate & Housing,Builder-Buyer / RERA Dispute,"Whether the facts and evidence establish the legal requirements arising from the real estate & housing dispute. Synthetic case involving a builder-buyer / rera dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Real Estate & Housing, Builder-Buyer / RERA Dispute, Real Estate (Regulation and Development) Act, 2016, RERA §§12, 14, 18, 31"
CASE-007478,Media & Defamation,Defamation Suit,"Whether the facts and evidence establish the legal requirements arising from the media & defamation dispute. Synthetic case involving a defamation suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Media & Defamation, Defamation Suit, Bharatiya Nyaya Sanhita, 2023, BNS §356; Constitution Art. 19(2)"
CASE-007479,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-007480,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-007481,Education Law,Student Admission / Examination Dispute,"Whether the facts and evidence establish the legal requirements arising from the education law dispute. Synthetic case involving a student admission / examination dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Education Law, Student Admission / Examination Dispute, Constitution of India, Articles 14, 21A, 226"
CASE-007482,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-007483,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-007484,White Collar Crime,Money Laundering / Corruption Case,"Whether the facts and evidence establish the legal requirements arising from the white collar crime dispute. Synthetic case involving a money laundering / corruption case. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. White Collar Crime, Money Laundering / Corruption Case, Prevention of Money Laundering Act, 2002, PMLA §§3, 4, 19, 45"
CASE-007485,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-007486,Divorce & Matrimonial,Divorce Petition,"Whether the facts and evidence establish the legal requirements arising from the divorce & matrimonial dispute. Synthetic case involving a divorce petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Divorce & Matrimonial, Divorce Petition, Hindu Marriage Act, 1955, HMA §§13, 13B, 24, 25"
CASE-007487,Corporate & Commercial,Commercial Contract Dispute,"Whether the facts and evidence establish the legal requirements arising from the corporate & commercial dispute. Synthetic case involving a commercial contract dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Corporate & Commercial, Commercial Contract Dispute, Companies Act, 2013, Companies Act §§241, 242; Contract Act §§73, 74"
CASE-007488,Corporate & Commercial,Commercial Contract Dispute,"Whether the facts and evidence establish the legal requirements arising from the corporate & commercial dispute. Synthetic case involving a commercial contract dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Corporate & Commercial, Commercial Contract Dispute, Companies Act, 2013, Companies Act §§241, 242; Contract Act §§73, 74"
CASE-007489,Human Rights & PIL,Public Interest Litigation,"Whether the facts and evidence establish the legal requirements arising from the human rights & pil dispute. Synthetic case involving a public interest litigation. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Human Rights & PIL, Public Interest Litigation, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-007490,Motor Accident Claims,Motor Accident Compensation Claim,"Whether the facts and evidence establish the legal requirements arising from the motor accident claims dispute. Synthetic case involving a motor accident compensation claim. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Motor Accident Claims, Motor Accident Compensation Claim, Motor Vehicles Act, 1988, MV Act §§166, 168, 173"
CASE-007491,Media & Defamation,Defamation Suit,"Whether the facts and evidence establish the legal requirements arising from the media & defamation dispute. Synthetic case involving a defamation suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Media & Defamation, Defamation Suit, Bharatiya Nyaya Sanhita, 2023, BNS §356; Constitution Art. 19(2)"
CASE-007492,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-007493,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-007494,Cybercrime & IT,Online Fraud / Cybercrime,"Whether the facts and evidence establish the legal requirements arising from the cybercrime & it dispute. Synthetic case involving a online fraud / cybercrime. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Cybercrime & IT, Online Fraud / Cybercrime, Information Technology Act, 2000, IT Act §§43, 66, 66C, 66D"
CASE-007495,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-007496,Child Protection,POCSO / Child Protection Proceeding,"Whether the facts and evidence establish the legal requirements arising from the child protection dispute. Synthetic case involving a pocso / child protection proceeding. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Child Protection, POCSO / Child Protection Proceeding, POCSO Act, 2012, POCSO §§4, 6, 8, 12"
CASE-007497,Real Estate & Housing,Builder-Buyer / RERA Dispute,"Whether the facts and evidence establish the legal requirements arising from the real estate & housing dispute. Synthetic case involving a builder-buyer / rera dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Real Estate & Housing, Builder-Buyer / RERA Dispute, Real Estate (Regulation and Development) Act, 2016, RERA §§12, 14, 18, 31"
CASE-007498,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-007499,Employment & Labour,Wrongful Termination,"Whether the facts and evidence establish the legal requirements arising from the employment & labour dispute. Synthetic case involving a wrongful termination. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Employment & Labour, Wrongful Termination, Industrial Disputes Act, 1947, ID Act §§25F, 25G, 25H"
